Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Spain","ES.BDCA.AQD","2025","NET_ES021A","Ayto Zaragoza","UTC","ES1044A","50297026","EL PICARRAL","SP_50297026_9_52","PM2.5","-0.871110","41.670280","195.000000","m","suburban","traffic","23/08/2021 00:00:00","","SAM_50297026_9_52","4.0","m","15.0","m","6.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","detached","","6.0","","","15.0","33.0","50","20620","SPP_50297026_9_52.1","23/08/2021 00:00:00","","automatic","BETA","","thermo5014i","","","","","","yes","EQUIVALENCIA DEMOSTRADA","0.1","ug.m-3","PARA 1830 ugr/m3 +/- 211,1","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES021A","Ayto Zaragoza","UTC","ES1641A","50297036","RENOVALES","SP_50297036_9_M","PM2.5","-0.893610","41.635280","220.000000","m","urban","background","01/01/2009 00:00:00","","SAM_50297036_9_M","3.5","m","51.0","m","25.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","open","","13.0","","","0.0","11.0","40","13970","SPP_50297036_9_M.1","01/01/2009 00:00:00","","active","","","","","other","","gravi","","ref","","10000","ug.m-3","15%","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES021A","Ayto Zaragoza","UTC","ES1836A","50297037","LAS FUENTES","SP_50297037_9_52","PM2.5","-0.861940","41.642220","198.000000","m","urban","traffic","01/01/2024 00:00:00","","SAM_50297037_9_52","4.0","m","15.0","m","6.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","detached","","25.0","","","0.0","0.0","30","8620","SPP_50297037_9_52.1","01/01/2024 00:00:00","","automatic","BETA","","thermo5014i","","","","","","yes","EQUIVALENCIA DEMOSTRADA","0.1","ug.m-3","PARA 1830 ugr/m3 +/- 211,1","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES021A","Ayto Zaragoza","UTC","ES2089A","50297040","ACTUR","SP_50297040_9_52","PM2.5","-0.886900","41.675200","200.000000","m","urban","background","01/01/2024 00:00:00","","SAM_50297040_9_52","4.0","m","15.0","m","6.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARAGOZA","","","21.0","","","0.0","0.0","10","5750","SPP_50297040_9_52.1","01/01/2024 00:00:00","","automatic","BETA","","thermo5014i","","","","","","yes","EQUIVALENCIA DEMOSTRADA","0.1","ug.m-3","PARA 1830 ugr/m3 +/- 211,1","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0001R","45153999","SAN PABLO DE LOS MONTES","SP_45153999_9_M","PM2.5","-4.350420","39.546330","923.000000","m","rural","background","01/01/2008 00:00:00","","SAM_45153999_9_M","1.7","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","SAN PABLO DE LOS MONTES","","","0.0","","","0.0","0.0","0","0","SPP_45153999_9_M.1","01/01/2008 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0006R","07032999","MAHÓN","SP_07032999_9_M","PM2.5","4.323890","39.876110","78.000000","m","rural","background","01/05/2012 00:00:00","","SAM_07032999_9_M","1.7","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","MAHÓN","","","0.0","","","0.0","0.0","0","0","SPP_07032999_9_M.1","01/05/2012 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0007R","18189999","VÍZNAR","SP_18189999_9_M","PM2.5","-3.550560","37.236940","1258.000000","m","rural","background","01/03/2001 00:00:00","","SAM_18189999_9_M","1.7","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","VÍZNAR","","","0.0","","","0.0","0.0","0","0","SPP_18189999_9_M.1","01/03/2001 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0008R","33036999","NIEMBRO","SP_33036999_9_M","PM2.5","-4.849720","43.439170","132.000000","m","rural","background","01/03/2001 00:00:00","","SAM_33036999_9_M","1.7","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","LLANES","","","0.0","","","0.0","0.0","0","0","SPP_33036999_9_M.1","01/03/2001 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0009R","19061999","CAMPISÁBALOS","SP_19061999_9_M","PM2.5","-3.142500","41.274170","1368.000000","m","rural","background","01/03/2001 00:00:00","","SAM_19061999_9_M","1.7","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","CAMPISÁBALOS","","","0.0","","","0.0","0.0","0","0","SPP_19061999_9_M.1","01/03/2001 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0010R","17032999","CABO DE CREUS","SP_17032999_9_M","PM2.5","3.315560","42.319170","75.000000","m","rural","background","01/03/2001 00:00:00","","SAM_17032999_9_M","1.7","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","CADAQUÉS","","","0.0","","","0.0","0.0","0","0","SPP_17032999_9_M.1","01/03/2001 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0011R","06016999","BARCARROTA","SP_06016999_9_M","PM2.5","-6.923330","38.472780","377.000000","m","rural","background","01/03/2001 00:00:00","","SAM_06016999_9_M","1.7","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","BARCARROTA","","","0.0","","","0.0","0.0","0","0","SPP_06016999_9_M.1","01/03/2001 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0012R","46263999","ZARRA","SP_46263999_9_M","PM2.5","-1.100830","39.082780","855.000000","m","rural","background","01/03/2001 00:00:00","","SAM_46263999_9_M","1.7","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","ZARRA","","","0.0","","","0.0","0.0","0","0","SPP_46263999_9_M.1","01/03/2001 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0013R","49149999","PEÑAUSENDE","SP_49149999_9_M","PM2.5","-5.897420","41.238890","1003.000000","m","rural","background","01/03/2001 00:00:00","","SAM_49149999_9_M","1.7","m","","m","","m","0.0","m","Land use, land use change and forestry","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","PEÑAUSENDE","","","0.0","","","0.0","0.0","0","0","SPP_49149999_9_M.1","01/03/2001 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0014R","25224999","ELS TORMS","SP_25224999_9_M","PM2.5","0.734170","41.393330","488.000000","m","rural","background","01/03/2001 00:00:00","","SAM_25224999_9_M","1.7","m","","m","","m","0.0","m","Agriculture","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","TORMS (ELS)","","","0.0","","","0.0","0.0","0","0","SPP_25224999_9_M.1","01/03/2001 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES058A","EMEP/VAG/CAMP","UTC","ES0016R","27058999","O SAVIÑAO","SP_27058999_9_M","PM2.5","-7.704580","42.634720","560.000000","m","rural","background","01/03/2001 00:00:00","","SAM_27058999_9_M","1.7","m","","m","","m","0.0","m","Agriculture","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","SAVIÑAO (O)","","","0.0","","","0.0","0.0","0","0","SPP_27058999_9_M.1","01/03/2001 00:00:00","","active","","","","","HVSman30","","gravi","","ref","","-999","ug.m-3","","http://missing.com","1","day","1","day","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
"Spain","ES.BDCA.AQD","2025","NET_ES131A","Ayto Madrid","UTC","ES0115A","28079004","PLAZA DE ESPAÑA","SP_28079004_9_A","PM2.5","-3.712220","40.424170","637.000000","m","urban","traffic","01/01/2025 00:00:00","","SAM_28079004_9_A","3.0","m","30.0","m","15.0","m","-999.0","m","Transport","-999.0","t.km-2.year-1","0","-999.0","t.km-1.year-1","-999.0","t.year-1","MADRID","","","15.0","","","6.0","11.0","40","30000","SPP_28079004_9_A.1","01/01/2025 00:00:00","","automatic","light-scat","","FIDAS200","","","","","","inprogress","http://missing.com","1","ug.m-3","25","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/es/eu/aqd/d/envaugdlg/ES_D_Metainfo.xml","17/12/2025 02:01:05"
