Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04001","FR04001","ISSY-LES-MOULINEAUX","SPO-FR04001_8","NO2","2.269200","48.822500","36.000000","m","urban","background","04/01/1986 00:00:00","24/07/2013 00:00:00","SAM-FR04001_8","3.0","m","","m","","","","","","","","0","","","","","ISSY-LES-MOULINEAUX","","","","","","","","","","SPP-FR_18","04/01/1986 00:00:00","24/07/2013 00:00:00","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04002","FR04002","GENNEVILLIERS","SPO-FR04002_8","NO2","2.294350","48.930320","28.000000","m","urban","background","08/01/1986 00:00:00","","SAM-FR04002_8","3.0","m","","m","","","","","","","","0","","","","","GENNEVILLIERS","","","","","","","","","","SPP-FR_18","08/01/1986 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04002","FR04002","GENNEVILLIERS","SPO-FR04002_8","NO2","2.294350","48.930320","28.000000","m","urban","background","08/01/1986 00:00:00","","SAM-FR04002_8","3.0","m","","m","","","","","","","","0","","","","","GENNEVILLIERS","","","","","","","","","","SPP-FR_7520","08/01/1986 00:00:00","","automatic","chemi","","enrivoAC32M","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04004","FR04004","PARIS 18eme","SPO-FR04004_8","NO2","2.346670","48.891670","60.000000","m","urban","background","21/01/1986 00:00:00","","SAM-FR04004_8","15.0","m","","m","","","","","","","","0","","","","","PARIS 18E ARRONDISSEMENT","elevated","plane","","","","","","","","SPP-FR_18","21/01/1986 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04004","FR04004","PARIS 18eme","SPO-FR04004_8","NO2","2.346670","48.891670","60.000000","m","urban","background","21/01/1986 00:00:00","","SAM-FR04004_8","15.0","m","","m","","","","","","","","0","","","","","PARIS 18E ARRONDISSEMENT","elevated","plane","","","","","","","","SPP-FR_7520","21/01/1986 00:00:00","","automatic","chemi","","enrivoAC32M","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04008","FR04008","CACHAN","SPO-FR04008_8","NO2","2.330560","48.799440","51.000000","m","urban","background","07/07/1994 00:00:00","01/06/2012 00:00:00","SAM-FR04008_8","5.0","m","","m","","","","","","","","0","","","","","CACHAN","","","","","","","","","","SPP-FR_18","07/07/1994 00:00:00","01/06/2012 00:00:00","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04012","FR04012","Place Victor Basch","SPO-FR04012_8","NO2","2.327500","48.827780","66.000000","m","urban","traffic","01/01/1991 00:00:00","","SAM-FR04012_8","3.0","m","","m","1.0","m","","","","","","0","","","","","PARIS 14E ARRONDISSEMENT","detached","plane","1.0","","-999.00","","","50","108000","SPP-FR_18","01/01/1991 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04012","FR04012","Place Victor Basch","SPO-FR04012_8","NO2","2.327500","48.827780","66.000000","m","urban","traffic","01/01/1991 00:00:00","","SAM-FR04012_8","3.0","m","","m","1.0","m","","","","","","0","","","","","PARIS 14E ARRONDISSEMENT","detached","plane","1.0","","-999.00","","","50","108000","SPP-FR_4971","01/01/1991 00:00:00","","automatic","chemi","","thermo42i","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04014","FR04014","PARIS 12eme","SPO-FR04014_8","NO2","2.393900","48.837220","40.000000","m","urban","background","11/09/1991 00:00:00","","SAM-FR04014_8","3.0","m","","m","","","","","","","","0","","","","","PARIS 12E ARRONDISSEMENT","","","","","","","","","","SPP-FR_18","11/09/1991 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04014","FR04014","PARIS 12eme","SPO-FR04014_8","NO2","2.393900","48.837220","40.000000","m","urban","background","11/09/1991 00:00:00","","SAM-FR04014_8","3.0","m","","m","","","","","","","","0","","","","","PARIS 12E ARRONDISSEMENT","","","","","","","","","","SPP-FR_7520","11/09/1991 00:00:00","","automatic","chemi","","enrivoAC32M","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04017","FR04017","NEUILLY-SUR-SEINE","SPO-FR04017_8","NO2","2.278060","48.881390","36.000000","m","urban","background","03/01/1986 00:00:00","","SAM-FR04017_8","3.0","m","","m","","","","","","","","0","","","","","NEUILLY-SUR-SEINE","","","","","","","","","","SPP-FR_18","03/01/1986 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04017","FR04017","NEUILLY-SUR-SEINE","SPO-FR04017_8","NO2","2.278060","48.881390","36.000000","m","urban","background","03/01/1986 00:00:00","","SAM-FR04017_8","3.0","m","","m","","","","","","","","0","","","","","NEUILLY-SUR-SEINE","","","","","","","","","","SPP-FR_7520","03/01/1986 00:00:00","","automatic","chemi","","enrivoAC32M","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04018","FR04018","AUBERVILLIERS","SPO-FR04018_8","NO2","2.384700","48.903900","42.000000","m","urban","background","02/01/1988 00:00:00","","SAM-FR04018_8","4.0","m","","m","","","","","","","","0","","","","","AUBERVILLIERS","","","","","","","","","","SPP-FR_18","02/01/1988 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04018","FR04018","AUBERVILLIERS","SPO-FR04018_8","NO2","2.384700","48.903900","42.000000","m","urban","background","02/01/1988 00:00:00","","SAM-FR04018_8","4.0","m","","m","","","","","","","","0","","","","","AUBERVILLIERS","","","","","","","","","","SPP-FR_7520","02/01/1988 00:00:00","","automatic","chemi","","enrivoAC32M","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04024","FR04024","GONESSE","SPO-FR04024_8","NO2","2.444720","48.990830","65.000000","m","suburban","background","07/07/2004 00:00:00","","SAM-FR04024_8","3.0","m","","m","","","","","","","","0","","","","","GONESSE","","","","","","","","","","SPP-FR_18","07/07/2004 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04024","FR04024","GONESSE","SPO-FR04024_8","NO2","2.444720","48.990830","65.000000","m","suburban","background","07/07/2004 00:00:00","","SAM-FR04024_8","3.0","m","","m","","","","","","","","0","","","","","GONESSE","","","","","","","","","","SPP-FR_4971","07/07/2004 00:00:00","","automatic","chemi","","thermo42i","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04029","FR04029","VERSAILLES","SPO-FR04029_8","NO2","2.130560","48.799170","125.000000","m","suburban","background","16/11/1990 00:00:00","","SAM-FR04029_8","3.0","m","","m","","","","","","","","0","","","","","VERSAILLES","","","","","","","","","","SPP-FR_18","16/11/1990 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04029","FR04029","VERSAILLES","SPO-FR04029_8","NO2","2.130560","48.799170","125.000000","m","suburban","background","16/11/1990 00:00:00","","SAM-FR04029_8","3.0","m","","m","","","","","","","","0","","","","","VERSAILLES","","","","","","","","","","SPP-FR_7520","16/11/1990 00:00:00","","automatic","chemi","","enrivoAC32M","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04031","FR04031","Av Champs Elysees","SPO-FR04031_8","NO2","2.311230","48.868770","34.000000","m","urban","traffic","24/12/1990 00:00:00","","SAM-FR04031_8","2.0","m","","m","2.0","m","","","","","","0","","","","","PARIS 8E ARRONDISSEMENT","detached","plane","60.0","","-999.00","","","-999","57085","SPP-FR_18","24/12/1990 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04031","FR04031","Av Champs Elysees","SPO-FR04031_8","NO2","2.311230","48.868770","34.000000","m","urban","traffic","24/12/1990 00:00:00","","SAM-FR04031_8","2.0","m","","m","2.0","m","","","","","","0","","","","","PARIS 8E ARRONDISSEMENT","detached","plane","60.0","","-999.00","","","-999","57085","SPP-FR_4971","24/12/1990 00:00:00","","automatic","chemi","","thermo42i","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04034","FR04034","VITRY-SUR-SEINE","SPO-FR04034_8","NO2","2.375790","48.775900","95.000000","m","urban","background","23/03/1991 00:00:00","","SAM-FR04034_8","3.0","m","","m","","","","","","","","0","","","","","VITRY-SUR-SEINE","","","","","","","","","","SPP-FR_18","23/03/1991 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04034","FR04034","VITRY-SUR-SEINE","SPO-FR04034_8","NO2","2.375790","48.775900","95.000000","m","urban","background","23/03/1991 00:00:00","","SAM-FR04034_8","3.0","m","","m","","","","","","","","0","","","","","VITRY-SUR-SEINE","","","","","","","","","","SPP-FR_4971","23/03/1991 00:00:00","","automatic","chemi","","thermo42i","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04037","FR04037","PARIS 13eme","SPO-FR04037_8","NO2","2.360280","48.828610","57.000000","m","urban","background","19/07/1991 00:00:00","","SAM-FR04037_8","3.0","m","","m","","","","","","","","0","","","","","PARIS 13E ARRONDISSEMENT","","","","","","","","","","SPP-FR_18","19/07/1991 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04037","FR04037","PARIS 13eme","SPO-FR04037_8","NO2","2.360280","48.828610","57.000000","m","urban","background","19/07/1991 00:00:00","","SAM-FR04037_8","3.0","m","","m","","","","","","","","0","","","","","PARIS 13E ARRONDISSEMENT","","","","","","","","","","SPP-FR_7520","19/07/1991 00:00:00","","automatic","chemi","","enrivoAC32M","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04038","FR04038","Zone Rurale SO","SPO-FR04038_8","NO2","1.883330","48.581940","152.000000","m","rural-regional","background","05/09/1991 00:00:00","","SAM-FR04038_8","3.0","m","","m","","","","","","","","0","","","","","SONCHAMP","","","","","","","","","","SPP-FR_18","05/09/1991 00:00:00","","automatic","chemi","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.8","ug.m-3","limite de détection pour le NO2 et NOx as NO2, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
