Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04002","FR04002","GENNEVILLIERS","SPO-FR04002_7","O3","2.294350","48.930320","28.000000","m","urban","background","08/01/1986 00:00:00","03/01/2012 00:00:00","SAM-FR04002_7","4.0","m","","m","","","","","","","","0","","","","","GENNEVILLIERS","","","","","","","","","","SPP-FR_21","08/01/1986 00:00:00","03/01/2012 00:00:00","automatic","UV-P","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04004","FR04004","PARIS 18eme","SPO-FR04004_7","O3","2.346670","48.891670","60.000000","m","urban","background","21/01/1986 00:00:00","","SAM-FR04004_7","15.0","m","","m","","","","","","","","0","","","","","PARIS 18E ARRONDISSEMENT","elevated","plane","","","","","","","","SPP-FR_21","21/01/1986 00:00:00","","automatic","UV-P","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04004","FR04004","PARIS 18eme","SPO-FR04004_7","O3","2.346670","48.891670","60.000000","m","urban","background","21/01/1986 00:00:00","","SAM-FR04004_7","15.0","m","","m","","","","","","","","0","","","","","PARIS 18E ARRONDISSEMENT","elevated","plane","","","","","","","","SPP-FR_8070","21/01/1986 00:00:00","","automatic","UV-P","","APIT400","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04008","FR04008","CACHAN","SPO-FR04008_7","O3","2.330560","48.799440","51.000000","m","urban","background","07/07/1994 00:00:00","22/12/2016 00:00:00","SAM-FR04008_7","3.0","m","","m","","","","","","","","0","","","","","CACHAN","","","","","","","","","","SPP-FR_21","07/07/1994 00:00:00","22/12/2016 00:00:00","automatic","UV-P","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04017","FR04017","NEUILLY-SUR-SEINE","SPO-FR04017_7","O3","2.278060","48.881390","36.000000","m","urban","background","03/01/1986 00:00:00","","SAM-FR04017_7","3.0","m","","m","","","","","","","","0","","","","","NEUILLY-SUR-SEINE","","","","","","","","","","SPP-FR_21","03/01/1986 00:00:00","","automatic","UV-P","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04017","FR04017","NEUILLY-SUR-SEINE","SPO-FR04017_7","O3","2.278060","48.881390","36.000000","m","urban","background","03/01/1986 00:00:00","","SAM-FR04017_7","3.0","m","","m","","","","","","","","0","","","","","NEUILLY-SUR-SEINE","","","","","","","","","","SPP-FR_8070","03/01/1986 00:00:00","","automatic","UV-P","","APIT400","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04023","FR04023","CERGY-PONTOISE","SPO-FR04023_7","O3","2.043060","49.046390","85.000000","m","urban","background","25/01/2000 00:00:00","","SAM-FR04023_7","8.0","m","","m","","","","","","","","0","","","","","CERGY","","","","","","","","","","SPP-FR_21","25/01/2000 00:00:00","","automatic","UV-P","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04023","FR04023","CERGY-PONTOISE","SPO-FR04023_7","O3","2.043060","49.046390","85.000000","m","urban","background","25/01/2000 00:00:00","","SAM-FR04023_7","8.0","m","","m","","","","","","","","0","","","","","CERGY","","","","","","","","","","SPP-FR_8070","25/01/2000 00:00:00","","automatic","UV-P","","APIT400","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04029","FR04029","VERSAILLES","SPO-FR04029_7","O3","2.130560","48.799170","125.000000","m","suburban","background","29/01/2017 00:00:00","","SAM-FR04029_7","3.0","m","","m","","","","","","","","0","","","","","VERSAILLES","","","","","","","","","","SPP-FR_21","29/01/2017 00:00:00","","automatic","UV-P","","undetermined","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04029","FR04029","VERSAILLES","SPO-FR04029_7","O3","2.130560","48.799170","125.000000","m","suburban","background","29/01/2017 00:00:00","","SAM-FR04029_7","3.0","m","","m","","","","","","","","0","","","","","VERSAILLES","","","","","","","","","","SPP-FR_7170","29/01/2017 00:00:00","","automatic","UV-P","","enviroO342M","","","","","","ref","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","4.0","ug.m-3","limite de détection pour l O3, valeur consensuelle fixée à 2 nmol/mol","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
