Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04002","FR04002","GENNEVILLIERS","SPO-FR04002_6001","PM2.5","2.294350","48.930320","28.000000","m","urban","background","01/01/2013 00:00:00","","SAM-FR04002_6001","3.0","m","","m","","","","","","","","0","","","","","GENNEVILLIERS","","","","","","","","","","SPP-FR_1371","01/01/2013 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04002","FR04002","GENNEVILLIERS","SPO-FR04002_6001","PM2.5","2.294350","48.930320","28.000000","m","urban","background","01/01/2013 00:00:00","","SAM-FR04002_6001","3.0","m","","m","","","","","","","","0","","","","","GENNEVILLIERS","","","","","","","","","","SPP-FR_1374","01/01/2013 00:00:00","","automatic","OPC-CMC","","FIDAS200","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04002","FR04002","GENNEVILLIERS","SPO-FR04002_6001","PM2.5","2.294350","48.930320","28.000000","m","urban","background","01/01/2013 00:00:00","","SAM-FR04002_6001","3.0","m","","m","","","","","","","","0","","","","","GENNEVILLIERS","","","","","","","","","","SPP-FR_4","01/01/2013 00:00:00","","automatic","TEOM-FDMS","","undetermined","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04004","FR04004","PARIS 18eme","SPO-FR04004_6001","PM2.5","2.346670","48.891670","60.000000","m","urban","background","01/01/2022 00:00:00","","SAM-FR04004_6001","15.0","m","","m","","","","","","","","0","","","","","PARIS 18E ARRONDISSEMENT","elevated","plane","","","","","","","","SPP-FR_1372","01/01/2022 00:00:00","","automatic","TEOM-FDMS","","TEOM1405F-FDMS","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04004","FR04004","PARIS 18eme","SPO-FR04004_6001","PM2.5","2.346670","48.891670","60.000000","m","urban","background","01/01/2022 00:00:00","","SAM-FR04004_6001","15.0","m","","m","","","","","","","","0","","","","","PARIS 18E ARRONDISSEMENT","elevated","plane","","","","","","","","SPP-FR_670","01/01/2022 00:00:00","","automatic","BETA","","BAM1020heated","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04024","FR04024","GONESSE","SPO-FR04024_6001","PM2.5","2.444720","48.990830","65.000000","m","suburban","background","23/12/2013 00:00:00","","SAM-FR04024_6001","4.0","m","","m","","","","","","","","0","","","","","GONESSE","","","","","","","","","","SPP-FR_670","23/12/2013 00:00:00","","automatic","BETA","","BAM1020heated","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04031","FR04031","Av Champs Elysees","SPO-FR04031_6001","PM2.5","2.311230","48.868770","34.000000","m","urban","traffic","23/12/2022 00:00:00","","SAM-FR04031_6001","2.0","m","","m","2.0","m","","","","","","0","","","","","PARIS 8E ARRONDISSEMENT","detached","plane","60.0","","-999.00","","","-999","57085","SPP-FR_670","23/12/2022 00:00:00","","automatic","BETA","","BAM1020heated","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04034","FR04034","VITRY-SUR-SEINE","SPO-FR04034_6001","PM2.5","2.375790","48.775900","95.000000","m","urban","background","23/03/1991 00:00:00","","SAM-FR04034_6001","3.0","m","","m","","","","","","","","0","","","","","VITRY-SUR-SEINE","","","","","","","","","","SPP-FR_1374","23/03/1991 00:00:00","","automatic","OPC-CMC","","FIDAS200","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04034","FR04034","VITRY-SUR-SEINE","SPO-FR04034_6001","PM2.5","2.375790","48.775900","95.000000","m","urban","background","23/03/1991 00:00:00","","SAM-FR04034_6001","3.0","m","","m","","","","","","","","0","","","","","VITRY-SUR-SEINE","","","","","","","","","","SPP-FR_670","23/03/1991 00:00:00","","automatic","BETA","","BAM1020heated","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
"France","FR.LCSQA-INERIS.AQ","2025","NET-FR004A","AIRPARIF","UTC","FR04048","FR04048","Zone Rurale Nord","SPO-FR04048_6001","PM2.5","2.343890","49.100280","140.000000","m","rural-regional","background","05/12/2013 00:00:00","","SAM-FR04048_6001","3.0","m","","m","","","","","","","","0","","","","","SAINT-MARTIN-DU-TERTRE","","","","","","","","","","SPP-FR_1374","05/12/2013 00:00:00","","automatic","OPC-CMC","","FIDAS200","","","","","","yes","https://www.lcsqa.org/fr/conformite-technique-appareils-mesure","3.0","ug.m-3","limite de détection pour le PM10 et le PM2.5, valeur consensuelle","https://www.lcsqa.org/fr/guides-methodologiques","15","minute","15","minute","http://cdr.eionet.europa.eu/fr/eu/aqd/d/envawdkjq/FR_2025_D_LCSQA-INERIS_20260109.xml","28/01/2026 02:00:15"
