Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0002R","UKA00130","Eskdalemuir - UKA00130","GB_SamplingPoint_61844","NO2","-3.206110","55.315310","255.000000","m","rural","background","09/12/2004 00:00:00","","GB_SamplingFeature_2687","2.9","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2687","09/12/2004 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0013R","UKA00168","Yarner Wood - UKA00168","GB_SamplingPoint_61489","NO2","-3.716510","50.597600","119.000000","m","rural","background","15/09/2003 00:00:00","","GB_SamplingFeature_2748","2.9","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2748","15/09/2003 00:00:00","","automatic","chemi","","API200","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0014R","UKA00169","High Muffles - UKA00169","GB_SamplingPoint_61495","NO2","-0.808550","54.334940","267.000000","m","rural","background","20/10/2003 00:00:00","","GB_SamplingFeature_2703","2.8","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2703","20/10/2003 00:00:00","","automatic","chemi","","API200A","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0031R","UKA00137","Aston Hill - UKA00137","GB_SamplingPoint_61506","NO2","-3.034180","52.503850","370.000000","m","rural","background","21/10/2003 00:00:00","","GB_SamplingFeature_2681","3.9","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2681","21/10/2003 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0033R","UKA00128","Bush Estate - UKA00128","GB_SamplingPoint_61492","NO2","-3.205780","55.862280","180.000000","m","rural","background","09/10/2003 00:00:00","","GB_SamplingFeature_2685","4.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2685","09/10/2003 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0034R","UKA00170","Glazebury - UKA00170","GB_SamplingPoint_61704","NO2","-2.472060","53.460080","21.000000","m","rural","background","26/01/2004 00:00:00","","GB_SamplingFeature_2692","3.3","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2692","26/01/2004 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0036R","UKA00047","Harwell - UKA00047","GB_SamplingPoint_64","NO2","-1.325280","51.571080","126.000000","m","rural","background","11/09/1995 00:00:00","31/12/2015 00:00:00","GB_SamplingFeature_2694","5.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2694","11/09/1995 00:00:00","31/12/2015 00:00:00","automatic","chemi","","API200A","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","http://uk-air.defra.gov.uk/reports/cat13/1309300904_All-Networks_QAQC_Document_2012__Issue1a.pdf","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0037R","UKA00171","Ladybower - UKA00171","GB_SamplingPoint_61","NO2","-1.752010","53.403370","420.000000","m","rural","background","27/10/1988 00:00:00","","GB_SamplingFeature_2705","4.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2705","27/10/1988 00:00:00","","automatic","chemi","","API200E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0038R","UKA00152","Lullington Heath - UKA00152","GB_SamplingPoint_51","NO2","0.181250","50.793700","125.000000","m","rural","background","29/09/1988 00:00:00","","GB_SamplingFeature_2710","3.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2710","29/09/1988 00:00:00","","automatic","chemi","","API200A","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0043R","UKA00323","Narberth - UKA00323","GB_SamplingPoint_78","NO2","-4.691460","51.781780","160.000000","m","rural","background","20/01/1997 00:00:00","","GB_SamplingFeature_2725","2.6","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2725","20/01/1997 00:00:00","","automatic","chemi","","API200","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","2","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
