Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0002R","UKA00130","Eskdalemuir - UKA00130","GB_SamplingPoint_68","Ozone","-3.206110","55.315310","255.000000","m","rural","background","23/04/1986 00:00:00","","GB_SamplingFeature_2686","2.9","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2686","23/04/1986 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0006R","UKA00166","Lough Navar - UKA00166","GB_SamplingPoint_57","Ozone","-7.900330","54.439510","130.000000","m","rural","background","02/04/1987 00:00:00","","GB_SamplingFeature_2713","4.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2713","02/04/1987 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0013R","UKA00168","Yarner Wood - UKA00168","GB_SamplingPoint_59","Ozone","-3.716510","50.597600","119.000000","m","rural","background","26/06/1987 00:00:00","","GB_SamplingFeature_2746","2.9","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2746","26/06/1987 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0014R","UKA00169","High Muffles - UKA00169","GB_SamplingPoint_56","Ozone","-0.808550","54.334940","267.000000","m","rural","background","16/07/1987 00:00:00","","GB_SamplingFeature_2701","2.8","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2701","16/07/1987 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0015R","UKA00162","Strathvaich - UKA00162","GB_SamplingPoint_53","Ozone","-4.776580","57.734460","270.000000","m","rural","background","18/03/1987 00:00:00","","GB_SamplingFeature_2736","4.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2736","18/03/1987 00:00:00","","automatic","UV-P","","API400A","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0031R","UKA00137","Aston Hill - UKA00137","GB_SamplingPoint_49","Ozone","-3.034180","52.503850","370.000000","m","rural","background","26/06/1986 00:00:00","","GB_SamplingFeature_2679","3.9","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2679","26/06/1986 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0033R","UKA00128","Bush Estate - UKA00128","GB_SamplingPoint_67","Ozone","-3.205780","55.862280","180.000000","m","rural","background","01/04/1986 00:00:00","","GB_SamplingFeature_2683","4.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2683","01/04/1986 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0034R","UKA00170","Glazebury - UKA00170","GB_SamplingPoint_71","Ozone","-2.472060","53.460080","21.000000","m","rural","background","01/04/1988 00:00:00","","GB_SamplingFeature_2690","3.3","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2690","01/04/1988 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0037R","UKA00171","Ladybower - UKA00171","GB_SamplingPoint_60","Ozone","-1.752010","53.403370","420.000000","m","rural","background","15/07/1988 00:00:00","","GB_SamplingFeature_2704","4.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2704","15/07/1988 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0038R","UKA00152","Lullington Heath - UKA00152","GB_SamplingPoint_50","Ozone","0.181250","50.793700","125.000000","m","rural","background","04/10/1986 00:00:00","","GB_SamplingFeature_2709","3.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2709","04/10/1986 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0039R","UKA00012","Sibton - UKA00012","GB_SamplingPoint_25","Ozone","1.463500","52.294400","46.000000","m","rural","background","01/07/1973 00:00:00","","GB_SamplingFeature_2735","4.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2735","01/07/1973 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0043R","UKA00323","Narberth - UKA00323","GB_SamplingPoint_77","Ozone","-4.691460","51.781780","160.000000","m","rural","background","20/01/1997 00:00:00","","GB_SamplingFeature_2724","2.6","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2724","20/01/1997 00:00:00","","automatic","UV-P","","API400A","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0045R","UKA00362","Wicken Fen - UKA00362","GB_SamplingPoint_84","Ozone","0.290920","52.298500","5.000000","m","rural","background","15/10/1997 00:00:00","","GB_SamplingFeature_2742","2.7","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2742","15/10/1997 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0048R","UKA00451","Auchencorth Moss - UKA00451","GB_SamplingPoint_63558","Ozone","-3.242900","55.792160","260.000000","m","rural","background","01/11/2006 00:00:00","","GB_SamplingFeature_2674","3.5","m","12.0","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2674","01/11/2006 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0566A","UKA00211","London Bloomsbury - UKA00211","GB_SamplingPoint_95","Ozone","-0.125890","51.522290","20.000000","m","urban","background","23/01/1992 00:00:00","","GB_SamplingFeature_840","3.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_840","23/01/1992 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0567A","UKA00212","Belfast Centre - UKA00212","GB_SamplingPoint_110","Ozone","-5.928830","54.599650","10.000000","m","urban","background","08/03/1992 00:00:00","","GB_SamplingFeature_758","3.3","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_758","08/03/1992 00:00:00","","automatic","UV-P","","thermo49i","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","0.7","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0568A","UKA00213","Newcastle Centre - UKA00213","GB_SamplingPoint_120","Ozone","-1.610530","54.978250","45.000000","m","urban","background","08/03/1992 00:00:00","","GB_SamplingFeature_1040","3.2","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_1040","08/03/1992 00:00:00","","automatic","UV-P","","thermo49i","","","","","","ref","http://uk-air.defra.gov.uk/networks/monitoring-methods","0.7","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
