Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0006R","UKA00166","Lough Navar - UKA00166","GB_SamplingPoint_76561","PM2.5","-7.900330","54.439510","130.000000","m","rural","background","18/07/2018 00:00:00","","GB_SamplingFeature_786100","2.3","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7154","18/07/2018 00:00:00","","automatic","OPC-CMC","","FIDAS200","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","4","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0043R","UKA00323","Narberth - UKA00323","GB_SamplingPoint_76559","PM2.5","-4.691460","51.781780","160.000000","m","rural","background","05/06/2018 00:00:00","","GB_SamplingFeature_786101","2.6","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7156","05/06/2018 00:00:00","","automatic","OPC-CMC","","FIDAS200","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","4","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0048R","UKA00451","Auchencorth Moss - UKA00451","GB_SamplingPoint_64466","PM2.5","-3.242900","55.792160","260.000000","m","rural","background","01/01/2006 00:00:00","","GB_SamplingFeature_2677","3.5","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_2677","01/01/2006 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0048R","UKA00451","Auchencorth Moss - UKA00451","GB_SamplingPoint_64466","PM2.5","-3.242900","55.792160","260.000000","m","rural","background","01/01/2006 00:00:00","","GB_SamplingFeature_2677","3.5","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7106","01/01/2006 00:00:00","","automatic","OPC-CMC","","FIDAS200","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","4","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0566A","UKA00211","London Bloomsbury - UKA00211","GB_SamplingPoint_24458","PM2.5","-0.125890","51.522290","20.000000","m","urban","background","26/03/1998 00:00:00","","GB_SamplingFeature_845","3.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7596","26/03/1998 00:00:00","","automatic","BETA","","BAM1020heated","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","6","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0566A","UKA00211","London Bloomsbury - UKA00211","GB_SamplingPoint_24458","PM2.5","-0.125890","51.522290","20.000000","m","urban","background","26/03/1998 00:00:00","","GB_SamplingFeature_845","3.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7729","26/03/1998 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0566A","UKA00211","London Bloomsbury - UKA00211","GB_SamplingPoint_24458","PM2.5","-0.125890","51.522290","20.000000","m","urban","background","26/03/1998 00:00:00","","GB_SamplingFeature_845","3.0","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_845","26/03/1998 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0567A","UKA00212","Belfast Centre - UKA00212","GB_SamplingPoint_65115","PM2.5","-5.928830","54.599650","10.000000","m","urban","background","01/10/2008 00:00:00","","GB_SamplingFeature_763","3.1","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7503","01/10/2008 00:00:00","","automatic","OPC-CMC","","FIDAS200","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","4","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0567A","UKA00212","Belfast Centre - UKA00212","GB_SamplingPoint_65115","PM2.5","-5.928830","54.599650","10.000000","m","urban","background","01/10/2008 00:00:00","","GB_SamplingFeature_763","3.1","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_763","01/10/2008 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
"United Kingdom","http://environment.data.gov.uk/air-quality/so","2020","GB_Network_1","UK Air Quality e-Reporting monitoring network for compliance & informative reporting","UTC","GB0567A","UKA00212","Belfast Centre - UKA00212","GB_SamplingPoint_65115","PM2.5","-5.928830","54.599650","10.000000","m","urban","background","01/10/2008 00:00:00","","GB_SamplingFeature_763","3.1","m","","m","","","","","","","","0","","","","","","","","","","","","","","","GB_StationProcess_7752","01/10/2008 00:00:00","","automatic","TEOM-FDMS","","TEOM1400FDMS-8500B-CB","","","","","","yes","http://uk-air.defra.gov.uk/networks/monitoring-methods","5","ug.m-3","","","1","hour","1","hour","http://cdr.eionet.europa.eu/gb/eu/aqd/d/envx8eo0w/GB_D_FixedAssessmentMethods.xml","05/09/2024 02:22:45"
