Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Andorra","AD.GovernAndorra.AQ","2024","NET-AD001A","Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra","UTC+01","AD0942A","942","Escaldes-Engordany","SPO-AD0942A-0007","O3","1.539140","42.509690","1080.000000","m","urban","background","01/01/2005 00:00:00","","SAM-AD0942A-0007","3.0","m","4.8","m","11.4","m","","","","","","0","","","","","Escaldes-Engordany","","","","","","","","","","SPP-AD0942A-0007-API400E","01/01/2005 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://qal1.de/en/index.htm","","","","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/ad/eu/aqd/d/colaitflq/envaitfqa/dataflow-d-2024-Rav3_fixed_spp.xml","01/10/2025 14:00:05"
"Andorra","AD.GovernAndorra.AQ","2024","NET-AD001A","Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra","UTC+01","AD0944A","944","Engolasters","SPO-AD0944A-0007","O3","1.565250","42.516940","1637.000000","m","rural","background","11/02/2006 00:00:00","","SAM-AD0944A-0007","3.0","m","6.7","m","","","","","","","","0","","","","","Engolasters","","","","","","","","","","SPP-AD0944A-0007-API400E","11/02/2006 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://qal1.de/en/index.htm","","","","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/ad/eu/aqd/d/colaitflq/envaitfqa/dataflow-d-2024-Rav3_fixed_spp.xml","01/10/2025 14:00:05"
"Andorra","AD.GovernAndorra.AQ","2024","NET-AD001A","Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra","UTC+01","AD0945A","945","SudRadio-Envalira","SPO-AD0945A-0007","O3","1.716990","42.534880","2515.000000","m","rural","background","18/08/2009 00:00:00","","SAM-AD0945A-0007","3.0","m","","","","","","","","","","0","","","","","SudRadio-Envalira","","","","","","","","","","SPP-AD0945A-0007-API400E","18/08/2009 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","http://qal1.de/en/index.htm","","","","http://missing.com","2","hour","1","hour","http://cdr.eionet.europa.eu/ad/eu/aqd/d/colaitflq/envaitfqa/dataflow-d-2024-Rav3_fixed_spp.xml","01/10/2025 14:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0203A","AL150A01","Korca","SPO-AL0203A_00007_100","O3","20.780180","40.625930","848.000000","m","suburban","background","10/11/2011 00:00:00","","SPO_F-AL0203A_00007_100_100","3.0","m","","","","","","","","","","0","","","","","Korca","","","","","","","","","","SPP-AL_A_UV-P_API400E","10/11/2011 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","NA","","","NA","NA","1","hour","10","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0204A","AL110A01","Vlora","SPO-AL0204A_00007_100","O3","19.486200","40.403090","25.000000","m","urban","background","03/04/2013 00:00:00","01/01/2021 00:00:00","SPO_F-AL0204A_00007_100_100","3.0","m","","","","","","","","","","0","","","","","Vlora","","","","","","","","","","SPP-AL_A_UV-P_API400E","03/04/2013 00:00:00","01/01/2021 00:00:00","automatic","UV-P","","API400E","","","","","","ref","NA","","","NA","NA","1","hour","10","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0205A","AL350A01","Durres","SPO-AL0205A_00007_100","O3","19.449200","41.319900","1.000000","m","urban","traffic","10/11/2011 00:00:00","","SPO_F-AL0205A_00007_100_100","3.0","m","30.0","m","10.0","m","","","","","","0","","","","","Durres","","","","","","","","","","SPP-AL_A_UV-P_API400E","10/11/2011 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","NA","","","NA","NA","1","hour","10","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0206A","AL550A01","Shkoder","SPO-AL0206A_00007_100","O3","19.523420","42.313900","13.000000","m","urban","background","10/11/2011 00:00:00","","SPO_F-AL0206A_00007_100_100","3.0","m","","","","","","","","","","0","","","","","Shkoder","","","","","","","","","","SPP-AL_A_UV-P_API400E","10/11/2011 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","NA","","","NA","NA","1","hour","10","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0207A","AL310A01","Elbasan","SPO-AL0207A_00007_100","O3","20.081700","41.110980","150.000000","m","urban","traffic","01/04/2014 00:00:00","","SPO_F-AL0207A_00007_100_100","3.0","m","10.0","m","3.0","m","","","","","","0","","","","","Elbasan","","","","","","","","","","SPP-AL_A_UV-P_API400E","01/04/2014 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","NA","","","NA","NA","1","hour","10","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0208A","AL180A01","Fier","SPO-AL0208A_00007_100","O3","19.555200","40.725800","64.000000","m","urban","traffic","01/01/2021 00:00:00","","SPO_F-AL0208A_00007_100_100","3.0","m","10.0","m","8.0","m","","","","","","0","","","","","Fier","","","","","","","","","","SPP-AL_A_UV-P_APIT400","01/01/2021 00:00:00","","automatic","UV-P","","APIT400","","","","","","ref","NA","","","NA","NA","1","hour","10","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL002A","Institute for Public Health","UTC+01","AL0201A","AL360A01","Tirana Center","SPO-AL0201A_00007_100","O3","19.821770","41.330270","162.000000","m","urban","traffic","06/01/2010 00:00:00","","SPO_F-AL0201A_00007_100_100","3.0","m","7.0","m","2.8","m","","","","","","0","","","","","Tirana","","","","","","","","","","SPP-AL_A_UV-P_API400E","06/01/2010 00:00:00","","automatic","UV-P","","API400E","","","","","","ref","NA","","","NA","NA","1","hour","10","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
