Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Andorra","AD.GovernAndorra.AQ","2024","NET-AD001A","Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra","UTC+01","AD0942A","942","Escaldes-Engordany","SPO-AD0942A-6001","PM2.5","1.539140","42.509690","1080.000000","m","urban","background","01/01/2018 00:00:00","","SAM-AD0942A-6001","3.0","m","4.8","m","11.4","m","","","","","","0","","","","","Escaldes-Engordany","","","","","","","","","","SPP-AD0942A-6001-FIDAS","01/01/2018 00:00:00","","automatic","light-scat","","FIDAS200E","","","","","","ref","http://qal1.de/en/index.htm","1.00000","ug.m-3","","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/ad/eu/aqd/d/colaitflq/envaitfqa/dataflow-d-2024-Rav3_fixed_spp.xml","01/10/2025 14:00:05"
"Andorra","AD.GovernAndorra.AQ","2024","NET-AD001A","Xarxa de vigilancia de qualitat de l'aire del Departament de Medi Ambient - Govern Andorra","UTC+01","AD0942A","942","Escaldes-Engordany","SPO-AD0942A-6001","PM2.5","1.539140","42.509690","1080.000000","m","urban","background","01/01/2018 00:00:00","","SAM-AD0942A-6001","3.0","m","4.8","m","11.4","m","","","","","","0","","","","","Escaldes-Engordany","","","","","","","","","","SPP-AD0942A-6001-TEOM1400A","01/01/2018 00:00:00","","automatic","TEOM","","TEOM1400A","","","","","","no","http://qal1.de/en/index.htm","","","","http://missing.com","1","hour","1","hour","http://cdr.eionet.europa.eu/ad/eu/aqd/d/colaitflq/envaitfqa/dataflow-d-2024-Rav3_fixed_spp.xml","01/10/2025 14:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0203A","AL150A01","Korca","SPO-AL0203A_06001_100","PM2.5","20.780180","40.625930","848.000000","m","suburban","background","10/11/2011 00:00:00","","SPO_F-AL0203A_06001_100_100","3.0","m","","","","","","","","","","0","","","","","Korca","","","","","","","","","","SPP-AL_A_light-scat_GRIMM-EDM180","10/11/2011 00:00:00","","automatic","light-scat","","GRIMM-EDM180","","","","","","noRef","NA","","","NA","NA","1","hour","6","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0204A","AL110A01","Vlora","SPO-AL0204A_06001_100","PM2.5","19.486200","40.403090","25.000000","m","urban","background","03/04/2013 00:00:00","01/01/2021 00:00:00","SPO_F-AL0204A_06001_100_100","3.0","m","","","","","","","","","","0","","","","","Vlora","","","","","","","","","","SPP-AL_A_light-scat_GRIMM-EDM180","03/04/2013 00:00:00","01/01/2021 00:00:00","automatic","light-scat","","GRIMM-EDM180","","","","","","noRef","NA","","","NA","NA","1","hour","6","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0205A","AL350A01","Durres","SPO-AL0205A_06001_100","PM2.5","19.449200","41.319900","1.000000","m","urban","traffic","10/11/2011 00:00:00","","SPO_F-AL0205A_06001_100_100","3.0","m","30.0","m","10.0","m","","","","","","0","","","","","Durres","","","","","","","","","","SPP-AL_A_light-scat_GRIMM-EDM180","10/11/2011 00:00:00","","automatic","light-scat","","GRIMM-EDM180","","","","","","noRef","NA","","","NA","NA","1","hour","6","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0206A","AL550A01","Shkoder","SPO-AL0206A_06001_100","PM2.5","19.523420","42.313900","13.000000","m","urban","background","10/11/2011 00:00:00","","SPO_F-AL0206A_06001_100_100","3.0","m","","","","","","","","","","0","","","","","Shkoder","","","","","","","","","","SPP-AL_A_light-scat_GRIMM-EDM180","10/11/2011 00:00:00","","automatic","light-scat","","GRIMM-EDM180","","","","","","noRef","NA","","","NA","NA","1","hour","6","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL001A","National Environment Agency","UTC+01","AL0208A","AL180A01","Fier","SPO-AL0208A_06001_100","PM2.5","19.555200","40.725800","64.000000","m","urban","traffic","01/01/2021 00:00:00","","SPO_F-AL0208A_06001_100_100","3.0","m","10.0","m","8.0","m","","","","","","0","","","","","Fier","","","","","","","","","","SPP-AL_A_light-scat_GRIMM-EDM180","01/01/2021 00:00:00","","automatic","light-scat","","GRIMM-EDM180","","","","","","noRef","NA","","","NA","NA","1","hour","6","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL002A","Institute for Public Health","UTC+01","AL0201A","AL360A01","Tirana Center","SPO-AL0201A_06001_100","PM2.5","19.821770","41.330270","162.000000","m","urban","traffic","06/01/2010 00:00:00","","SPO_F-AL0201A_06001_100_100","3.0","m","7.0","m","2.8","m","","","","","","0","","","","","Tirana","","","","","","","","","","SPP-AL_A_light-scat_GRIMM-EDM180","06/01/2010 00:00:00","","automatic","light-scat","","GRIMM-EDM180","","","","","","noRef","NA","","","NA","NA","1","hour","6","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Albania","AL.AEF.AQ","2024","NET-AL002A","Institute for Public Health","UTC+01","AL0202A","AL360A02","Tirana IPH","SPO-AL0202A_06001_100","PM2.5","19.851670","41.345600","207.000000","m","suburban","background","06/01/2010 00:00:00","","SPO_F-AL0202A_06001_100_100","3.0","m","","","","","","","","","","0","","","","","Tirana","","","","","","","","","","SPP-AL_A_light-scat_GRIMM-EDM180","06/01/2010 00:00:00","","automatic","light-scat","","GRIMM-EDM180","","","","","","noRef","NA","","","NA","NA","1","hour","6","second","http://cdr.eionet.europa.eu/al/eu/aqd/d/envafpukw/dataflow-d.xml","20/06/2025 02:00:05"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.65188.6001.1","PM2.5","16.526170","47.840110","165.000000","m","suburban","background","21/06/2012 00:00:00","","SAM.01.0001.65188.6001.1","4.0","m","","","","","","m","Long-range transboundary transport","","","0","","","","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","14580","SPP.01.0001.65188.6001.1.11390","21/06/2012 00:00:00","","automatic","OPC-CMC","","GRIMM-EDM180","","","","","","yes","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
"Austria","AT.0008.20.AQ","2025","NET.01","Amt der Burgenländischen Landesregierung","UTC+01","AT10001","010001","Eisenstadt Laschoberstraße","SPO.01.0001.65188.6001.1","PM2.5","16.526170","47.840110","165.000000","m","suburban","background","21/06/2012 00:00:00","","SAM.01.0001.65188.6001.1","4.0","m","","","","","","m","Long-range transboundary transport","","","0","","","","t.year-1","7000 Eisenstadt","open","plane","40.0","","0.04","","5.0","30","14580","SPP.01.0001.65188.6001.1.12236","21/06/2012 00:00:00","","automatic","OPC-CMC","","GRIMM-EDM180","","","","","","yes","http://www.umweltbundesamt.at/fileadmin/site/umweltthemen/luft/PM_Aequivalenz_Dokumentation.pdf","1.0","ug.m-3","Documentation SPP","http://www.umweltbundesamt.at","1","hour","1","hour","http://cdr.eionet.europa.eu/at/eu/aqd/d/envaukgyw/AQD_Dataset_D_2025_AT.xml","23/12/2025 02:00:13"
